,Stock1,Stock2
721,ALL,COF
722,ALL,CBRE
723,ALL,SCHW
724,ALL,CFG
725,ALL,DFS
726,ALL,FITB
727,ALL,GE
728,ALL,HPE
729,ALL,HWM
730,ALL,IVZ
731,ALL,IRM
732,ALL,JPM
733,ALL,KEY
734,ALL,LUMN
735,ALL,MET
736,ALL,MAA
737,ALL,MHK
738,ALL,NTAP
739,ALL,NTRS
740,ALL,NUE
741,ALL,PBCT
742,ALL,PNC
743,ALL,RL
744,ALL,RF
745,ALL,ROST
746,ALL,STX
747,ALL,SNA
748,ALL,SYF
749,ALL,TPR
750,ALL,WDC
751,ALL,ZION
752,MO,AXP
753,MO,BAC
754,MO,XRAY
755,MO,FITB
756,MO,FOXA
757,MO,IT
758,MO,IRM
759,MO,MET
760,MO,MGM
761,MO,MHK
762,MO,MOS
763,MO,NTAP
764,MO,PXD
765,MO,TFC
766,MO,ZION
767,AMCR,AME
768,AMCR,APH
769,AMCR,ADM
770,AMCR,AJG
771,AMCR,BBY
772,AMCR,BR
773,AMCR,CHRW
774,AMCR,CTSH
775,AMCR,CL
776,AMCR,CMCSA
777,AMCR,GLW
778,AMCR,CSX
779,AMCR,DRE
780,AMCR,EMN
781,AMCR,EXPD
782,AMCR,FBHS
783,AMCR,HOLX
784,AMCR,IEX
785,AMCR,INFO
786,AMCR,ITW
787,AMCR,IQV
788,AMCR,LOW
789,AMCR,MXIM
790,AMCR,MDLZ
791,AMCR,MNST
792,AMCR,PNR
793,AMCR,PKI
794,AMCR,PGR
795,AMCR,PTC
796,AMCR,DGX
797,AMCR,STE
798,AMCR,TXN
799,AMCR,TSCO
800,AMCR,UNP
801,AMCR,UPS
802,AEE,AOS
803,AEE,ADM
804,AEE,AJG
805,AEE,AVY
806,AEE,BBY
807,AEE,CZR
808,AEE,CAT
809,AEE,CMCSA
810,AEE,GLW
811,AEE,CTVA
812,AEE,DHI
813,AEE,DVA
814,AEE,DOV
815,AEE,ETN
816,AEE,EW
817,AEE,EFX
818,AEE,EXPD
819,AEE,FAST
820,AEE,FIS
821,AEE,FBHS
822,AEE,FCX
823,AEE,GPS
824,AEE,GRMN
825,AEE,GNRC
826,AEE,GPC
827,AEE,ITW
828,AEE,JBHT
829,AEE,SJM
830,AEE,JNJ
831,AEE,KSU
832,AEE,KHC
833,AEE,LB
834,AEE,LEN
835,AEE,LOW
836,AEE,MMC
837,AEE,MAS
838,AEE,MDLZ
839,AEE,MS
840,AEE,NWSA
841,AEE,NWS
842,AEE,ODFL
843,AEE,PKG
844,AEE,PNR
845,AEE,PM
846,AEE,PPG
847,AEE,PHM
848,AEE,PWR
849,AEE,RSG
850,AEE,RHI
851,AEE,STX
852,AEE,SNA
853,AEE,TGT
854,AEE,TXN
855,AEE,TT
856,AEE,UNP
857,AEE,UPS
858,AEE,VZ
859,AEE,WRK
860,AEE,WHR
861,AEE,XYL
862,AAL,APA
863,AAL,AVB
864,AAL,BXP
865,AAL,CCL
866,AAL,CBOE
867,AAL,CVX
868,AAL,DAL
869,AAL,FRT
870,AAL,HFC
871,AAL,KMI
872,AAL,MRO
873,AAL,NCLH
874,AAL,NOV
875,AAL,OXY
876,AAL,OKE
877,AAL,REG
878,AAL,SLB
879,AAL,SPG
880,AAL,UDR
881,AAL,UAL
882,AAL,VNO
883,AAL,WFC
884,AAL,WELL
885,AEP,AIG
886,AEP,APA
887,AEP,T
888,AEP,ATO
889,AEP,AVB
890,AEP,BXP
891,AEP,BSX
892,AEP,CDNS
893,AEP,CCL
894,AEP,CTLT
895,AEP,CBOE
896,AEP,CNP
897,AEP,C
898,AEP,CTXS
899,AEP,CLX
900,AEP,CME
901,AEP,CAG
902,AEP,COP
903,AEP,ED
904,AEP,DAL
905,AEP,DVN
906,AEP,FANG
907,AEP,DLR
908,AEP,DG
909,AEP,EBAY
910,AEP,EIX
911,AEP,EA
912,AEP,ETR
913,AEP,EOG
914,AEP,EQR
915,AEP,ETSY
916,AEP,XOM
917,AEP,FRT
918,AEP,FOXA
919,AEP,FOX
920,AEP,GIS
921,AEP,HAL
922,AEP,HES
923,AEP,HPE
924,AEP,HFC
925,AEP,HRL
926,AEP,HST
927,AEP,HWM
928,AEP,INCY
929,AEP,JKHY
930,AEP,KIM
931,AEP,KMI
932,AEP,LVS
933,AEP,MTB
934,AEP,MRO
935,AEP,MPC
936,AEP,MRK
937,AEP,TAP
938,AEP,NEM
939,AEP,NLOK
940,AEP,NCLH
941,AEP,NOV
942,AEP,OXY
943,AEP,OMC
944,AEP,OKE
945,AEP,PSX
946,AEP,PPL
947,AEP,RTX
948,AEP,O
949,AEP,REG
950,AEP,ROL
951,AEP,RCL
952,AEP,SLB
953,AEP,SRE
954,AEP,SPG
955,AEP,LUV
956,AEP,TSN
957,AEP,UDR
958,AEP,UAL
959,AEP,VLO
960,AEP,VFC
961,AEP,VNO
962,AEP,WMT
963,AEP,WBA
964,AEP,WFC
965,AEP,WELL
966,AXP,ADP
967,AXP,COF
968,AXP,CFG
969,AXP,XRAY
970,AXP,FITB
971,AXP,IT
972,AXP,IVZ
973,AXP,KEY
974,AXP,MET
975,AXP,MHK
976,AXP,MSI
977,AXP,NTAP
978,AXP,NLSN
979,AXP,PXD
980,AXP,PNC
981,AXP,RL
982,AXP,ROST
983,AXP,TXT
984,AIG,HST
985,AIG,REG
986,AIG,SPG
987,AIG,WELL
988,AWK,AAPL
989,AWK,BLL
990,AWK,BBY
991,AWK,CDNS
992,AWK,CTLT
993,AWK,CL
994,AWK,CAG
995,AWK,CPRT
996,AWK,DVA
997,AWK,DG
998,AWK,ENPH
999,AWK,ETSY
1000,AWK,FAST
1001,AWK,FE
1002,AWK,FMC
1003,AWK,FBHS
1004,AWK,GNRC
1005,AWK,HOLX
1006,AWK,ITW
1007,AWK,JBHT
1008,AWK,LOW
1009,AWK,MAS
1010,AWK,MCK
1011,AWK,MNST
1012,AWK,NEE
1013,AWK,NKE
1014,AWK,ODFL
1015,AWK,PYPL
1016,AWK,PENN
1017,AWK,PEP
1018,AWK,PKI
1019,AWK,QRVO
1020,AWK,QCOM
1021,AWK,DGX
1022,AWK,RMD
1023,AWK,ROL
1024,AWK,SWKS
1025,AWK,STE
1026,AWK,TMUS
1027,AWK,TROW
1028,AWK,TTWO
1029,AWK,TGT
1030,AWK,TER
1031,AWK,UNP
1032,AWK,UPS
1033,AWK,WMT
1034,AWK,ZTS
1035,AMP,AVY
1036,AMP,CAT
1037,AMP,DOV
1038,AMP,FCX
1039,AMP,NWSA
1040,AMP,NWS
1041,AMP,PM
1042,ABC,AJG
1043,ABC,CAG
1044,ABC,DRE
1045,ABC,ETN
